kTRBeltShort,Belt,Лента,Bande,Band,Cinta 
kTRNewFence,A charming wooden fence,Обалденный деревянный забор,Une charmante clôture en bois,Ein charmanter holzzaun,Una encantadora cerca de madera
kTRNewCropHarvesterSmall,"Collects cargo, can hold three different types","Собирает урожай, вмещает три разных типа","Collecte la cargaison, détient trois types","Sammelt fracht, kann drei arten aufnehmen","Recoge carga, tiene tres tipos"
kTRNewPump,Must be built on water. Produces water buckets,Должна быть построена на воде. Выдаёт воду,Doit être construit sur l'eau. Pompes à eau,Muss auf wasser gebaut werden. Pumpt wasser,Debe construirse sobre el agua. Bombea agua
kTRNewChalkQuarry,Must be built on chalky soil. Produces chalk,Строится на меловой почве. Производит мел,Construire sur un sol calcaire. Produit de la craie,Auf kalkhaltigem boden bauen. Produziert kreide,Debe construirse en suelo calcáreo. Produce tiza
kTRNewSaltMine,Must be built on peaty soil. Produces salt,Строится на торфяной почве. Производит соль,Construit sur un sol tourbeux. Produit du sel,Muss auf torfboden gebaut werden. Erzeugt salz,Debe construirse sobre suelo turbero. Produce sal
kTRNewCropHarvesterLarge,"Collects cargo, can hold three different types","Собирает урожай, вмещает три разных типа","Collecte la cargaison, détient trois types","Sammelt fracht, kann drei arten aufnehmen","Recoge carga, tiene tres tipos"
kTRNewCO2Extractor,Liquefies carbon dioxide right out of the air,Сжижает углекислый газ прямо из воздуха,Liquéfie le dioxyde de carbone directement de l'air,Verflüssiges kohlendioxid direkt aus der luft,Licua el dióxido de carbono del aire
kTRNewVitiminFac,Manufactures low-grade vitamin pills,Производит самопальные витаминны,Fabrique des pilules de vitamines de bas niveau,Erstellt minderwertige vitaminpillen,Fabrica píldoras de vitaminas de bajo grado
kTRNewVegOilFac,Crush vegetable oil from sunflowers,Растительное масло из подсолнечника,Écraser l'huile végétale des tournesols,Gemüseöl aus sonnenblumen zerquetschen,Aplastar el aceite vegetal de los girasoles
kTRNewCrispsFac,Manufactures potato chips. A fried favorite!,Производит картофельные чипсы. Ням!,Fabrique des croustilles. Un favori frit!,Erstellt kartoffelchips. Ein gebratener favorit!,Fabrica papas fritas. ¡Un favorito frito!
kTRNewEthanolFac,Brew & distill pure alcohol,Варит и перегоняет чистый спирт,Brasser et distiller de l'alcool pur,Brauen und destillieren sie reinen alkohol,Elaborar y destilar alcohol puro
kTRNewHardCiderFac,Mix up some cheap hard 'cider',Сварим немного дешевого крепкого сидра,"Mélangez un ""cidre"" bon marché",Mischen sie etwas billige apfelwein,Mezclar un poco de 'sidra'
kTRNewAbattoir,"Feed goes in, 'meat' comes out","Корм входит, мясо выходит","La nourriture entre, la ""viande"" sort","Futter geht hinein, ""fleisch"" kommt raus","El alimento entra, la 'carne' sale"
kTRNewHydrogenFac,Splits water and captures the hydrogen,Расщепляет воду и извлекает водород,Divise l'eau et capture l'hydrogène,Spaltet wasser und fängt den wasserstoff ein,Divide el agua y captura el hidrógeno
kTRNewHOILFac,Hydrogenates oil to prevent spoiling,Гидрогенизирует масло,Hydrogéne l'huile pour éviter qu'elle ne se gâte,"Hydriert öl, um verderben zu verhindern",Hidrogena el aceite para evitar el malcriado
kTRNewCornDogFac,Crunchy and meaty,Хрустящий и мясистый,Croquant et charnu,Knusprig und fleischig,Crujiente y carnoso
kTRNewBeerFac,Produces something which resembles beer,Производит нечто напоминающее пиво,Produit quelque chose qui ressemble à de la bière,"Produziert etwas, das bier ähnelt",Produce algo que se asemeja a la cerveza
kTRNewTequilaFac,At least it has some agave in it,По крайней мере в ней есть агава,"Au moins, il y a un peu d'agave",Zumindest hat es etwas agave darin,¡Al menos tiene algo de agave!
kTRNewHFCSFac,"So very, very, sweet...",Слишком сладкий,"Tellement, très, doux ...","So sehr, sehr, süß ...","Muy, muy, dulce..."
kTRNewGelatinFac,Used to set a variety of liquids,Нужен для приготовления жидкостей,Utilisé pour définir une variété de liquides,Zum abbinden von flüssigkeiten,Utilizado para establecer una variedad de líquidos
kTRNewJellyFac,A wobbly favorite,Завораживающе трясётся,Un favori bancal,Ein wackeliger favorit,Un favorito tambaleante
kTRNewJelloShotFac,An interesting mix of flavors,Изумительное сочетание вкусов,Un mélange intéressant de saveurs,Eine interessante mischung aus aromen,Una mezcla interesante de sabores
kTRNewEmulsifierFac,Stops things from separating out,Не даёт вещам отделяться друг от друга,Empêche les choses de se séparer,"Verhindert, dass die dinge sich trennen",Evita que las cosas se separen
kTRNewIceCreamFac,It's dairy free! Is that a good thing?,"Сделано из химикатов, не как в СССР",C'est sans produits laitiers! Est-ce une bonne chose?,Es ist milchfrei! Ist das eine gute sache?,¡Es libre de lácteos! ¿Eso es algo bueno?
kTRNewBatteryFarm,"Corn goes in, eggs come out","Кукуруза входит, яйца выходят","Le maïs entre, les oeufs sortent","Mais geht hinein, eier kommen heraus","El maíz entra, los huevos salen"
kTRNewProteinFac,"Maximum bulk, minimum fuss","Максимум объема, минимум хлопот","Masse maximale, tracas minimum","Maximale masse, minimale aufregung","Máximo masa, mínimo de alboroto"
kTRNewChocolateFac,It's mostly sugar...,"Очень вредно, но очень вкусно",Ç'est surtout du sucre ...,Es ist meistens zucker...,Es sobre todo azúcar...
kTRNewPieFac,What's for dinner? Meat pie!,Сегодня на обед мясной пирог,Qu'y a-t-il pour le dîner? Tourte à la viande!,Was gibt es zum abendessen? Fleischpastete!,¿Que hay para cenar? ¡Pastel de Carne!
kTRNewMSGFac,Makes everything taste better,Делает всё вкуснее в разы,Rend tout meilleur goût,Lässt alles besser schmecken,Hace que todo tenga un sabor mejor
kTRNewTVDinnerFac,"A meal for one, served in a tray",Блюдо для одного на подносе,"Un repas pour un, servi dans un plateau","Eine mahlzeit für einen, serviert in einem tablett","Una comida para uno, servida en una bandeja"
kTRNewCaffeineFac,Extracts the caffeine from coffee beans,Извлекает кофеин из кофейных зерен,Extrait la caféine des grains de café,Extrahiert das koffein aus kaffeebohnen,Extrae la cafeína de los granos de café
kTRNewEnergyDrinkFac,Caffeine high & sugar rush all-in-one,Кофеин + море сахара в одной баночке,Caféine élevée et ruée vers le sucre tout en un,"Koffein-high und zuckerrausch, alles in einem",Un subidón de cafeína y de azúcar todo en uno
kTRNewRaveJuiceFac,This stuff should probably be illegal...,"По-хорошему, эту штуку надо запретить...",Ce truc devrait probablement être illégal ...,Dieses zeug sollte wahrscheinlich illegal sein...,Esto probablemente debería ser ilegal...
kTRNewPerkPillFac,Will keep you awake far too long,Не даст тебе уснуть,Vous gardera éveillé beaucoup trop longtemps,Wird sie viel zu lange wach halten,Te mantendrá despierto por mucho tiempo
kTRNewCakeFac,"Chocolatey, soft, and an infinite shelf life","Шоколадный, мягкий и нежный","Chocolaté, avec une durée de conservation infinie","Schokoladig, weich und eine unendliche haltbarkeit","Chocolate, suave y una vida útil infinita"
kTRNewDessertFac,Sweet tooth?,Кто тут сладкоежка?!,Gourmand?,Naschkatze?,¿Goloso?
kTRNewPackagingFac,Scaling up with custom packaging,Маштабируем упаковочный бизнес,Professionnel avec emballage personnalisé,Jetzt mit individueller verpackung,Ahora con embalaje individual
kTRNewCateringKitFac,"Packaged catering kits, great markup",Набор для кейтеринга. Великолепный дизайн,"Forfait traiteur, grande balisage","Verpacktes lebensmittel kit, tolles markup","Comidas empaquetadas, gran margen de beneficio"
kTRNewChineseReayMealFac,"Gelatinous, and dehydrating",Слишком желатиновое и высушенное,Gélatineux et déshydratant,Gallertartig und dehydrierend,Gelatinoso y deshidratante
kTRNewPartyPackFac,Everything a good party needs,"То, что нужно на отличной вечеринке",Tout ce dont une bonne fête a besoin,"Alles, was eine gute party braucht",Todo lo que necesita una buena fiesta
kTRNewParfumeFac,Fancy stuff,Моднявые штучки,Trucs de fantaisie,Schickes zeug,Cosas lujosas
kTRNewMiraclePowderFac,What can't it cure?! (Anything...),Вылечим всё! (Правда всё),Que peut-il guérir?! (Rien!),Was kann es nicht heilen?! (Irgendetwas...),¿Qué no puede curar? (Cualquier cosa...)
kTRNewTurkishDelightFac,A delectable delicacy,Восхитительный деликатес,Une délicatesse délicieuse,Eine köstliche delikatesse,Una deliciosa delicadeza
kTRSell,Sell,Продать,Vendre,Verkaufen,Vender
kTRPauseFin0,Everything is,Все,Tout est,Alles ist,Todo es
kTRPauseFin1,UNLOCKED!,РАЗБЛОКИРОВАНО!,Déverrouillé!,Freigeschaltet!,¡Desbloqueado!
kTRPauseFin2,Thanks for playing,Спасибо за игру,Merci d'avoir joué,Danke fürs Spielen,Gracias por jugar
kTRPauseFin3,FACTORY FARMING!,FACTORY FARMING!,USINE AGRICULTURE!,INDUSTRIE L.D.W.!,¡LA AGRI. INTENSIVA!
kTRPauseUnlock0,Visit:,Посети:,Visite:,Besuchen:,Visita:
kTRPauseUnlock1,The Shop,Магазин,La boutique,Das geschäft,La tienda
kTRPauseUnlockTheNext,To unlock the next:,Чтобы разблокировать:,Pour débloquer le suivant:,Das nächste freischalten:,Para desbloquear:
kTRPauseSell0,Sell a total of:,Продай всего:,Vendre un total de:,Verkaufen insgesamt:,Vender un total de:
kTRPauseSell2,Sold so far: %i,Продано до сих пор: %i,Vendu jusqu'à présent: %i,Bisher verkauft: %i,Vendido hasta ahora: %i
kTRPauseTut0,Continue,Продолжить,Continuer,Weitermachen,Continuar
kTRPauseTut1,The Tutorial,Обучение,Le tutoriel,Das Tutorial,El tutorial
kTRPauseTut3,Building,Здание,Bâtiment,Gebäude,Edificio
kTRPauseSave,SAVE BEFORE EXITING!,СОХРАНИСЬ ДО ВЫХОДА!,ENREGIST. AVANT DE SORTI!,VOR BEENDEN SPEICHERN!,¡GUARDE ANTES DE SALIR!
kTRPauseTotTime,Total Play Time:,Общее время игры:,Temps de jeu total:,Gesamtspielzeit:,Tiempo de juego total:
kTRPauseTotTimeDisplay,%ih:%im:%is,%iч:%iм:%iсек,%ih:%im:%is,%is:%im:%is,%ih:%im:%is
kTRSettingsAutosaveOff,OFF,ВЫКЛ,PAS,AUS,SIN
kTRSettingsAutosave5m,5m,5м,5m,5m,5m
kTRSettingsAutosave10m,10m,10м,10m,10m,10m
kTRSettingsAutosave15m,15m,15м,15m,15m,15m
kTRSettingsAutosave30m,30m,30м,30m,20m,30m
kTRSettings0,--- Sound Settings ---,--- Настройки звука ---,--- Paramètres Sonores ---,--- Soundeinstellungen ----,--- Ajustes de Sonido ---
kTRSettings1,Music,Музыка,Musique,Musik,Música
kTRSettings2,Music Volume,Громкость музыки,Volume de la Musique,Musiklautstärke,Volumen de la Música
kTRSettings3,Sound Effects,Звуковые эффекты,Effets Sonores,Soundeffekte,Efectos de Sonido
kTRSettings4,Footsteps,Шаги,Bruits de Pas,Schrittgeräusche,Sonidos de Pasos
kTRSettings5,--- Game Settings ---,--- Игровые настройки ---,--- Paramètres de Jeu ---,--- Spieleinstellungen ---,--- Configuraciones de Juego ---
kTRSettings6,Screen Shake,Тряска экрана,Bougé d'écran,Bildschirmschütteln,Batido de pantalla
kTRSettings7,Tutorial Enabled,Обучение включено,Tutoriel activé,Tutorial aktiviert,Tutorial habilitado
kTRSettings8,Conveyor Animation,Анимация конвейеров,Animation de transporteuse,Förderband-Animation,Animación transportadora
kTRSettings9,Show Harvester Outlines,Видно контуры харвестеров,Contours de la moissonneuse,Harvester-Umrisse,Contornos de la cosechadora
kTRSettings10,Enable Crank-on-Conveyor,Автодвижение на конвейере,Manivelle sur transporteuse,Förderbandkurbel,Manivela en transportador
kTRSettings11,Centre Camera on Player,Центрировать камеру на игроке,Caméra centrale sur le joueur,Mittelkamera auf Player,Centrar la cámara en el jugador
kTRSettings12,Auto Zoom-In When Moving,Автоувеличение при движении,Zoom automatique sur la marche,Automatisches zoom beim bewegen,Zoom automático al moverse
kTRSettings13,Auto Save Time,Автосохранение каждые,Temps de sauvegarde automatique,Automatische spielspeicherung,Juego de guardado automático
kTRSettings14,Auto Pickup on Deconstruct,Автоподбор при разрушении,Ramassage auto. sur déconstruct,Automatische abholung beim abbau,Recogida automática en la decon.
kTRSettings15,Auto Apply Conveyor Grease,Автоускорение конвейеров,Auto appliquer la graisse de bande,Fett automatisch verwenden,Auto aplicar grasa transportadora
kTRSettings16,Show Debug Information,Показывать инфу для дебага,Informations de débogage,Debug-Informationen anzeigen,Información de depuración
kTRSettings17,--- Exit Game ---,--- Выход ---,--- Quitter le Jeu ---,--- Spiel Verlassen ---,--- Salir del Juego ---
kTRSettings18,Save & Exit to Title,Сохранить и выйти в меню,Sauver et sortir au titre,Spiel speichern und beenden,Guardar y salir al título
kTRSettings19,Exit to Title WITHOUT Saving,Выйти БЕЗ сохранения,Sortir au titre sans sauver ,Spiel verlassen ohne zu speichern,Salir al título sin guardar
kTRSettings20,--- Screenshot ---,--- Скриншот ---,--- Capture d'Écran ---,--- Bildschirmfoto ---,--- Captura de Pantalla ---
kTRSettings21,Take Screenshot of Plot,Сделать скрин участка,Prendre une capture d'écran,Vollständigen bildschirmfoto machen,Tomar captura de pantalla completa
kTRSettings22,--- Controls ---,--- Управление ---,--- Contrôles ---,--- Kontrollen ---,--- Controles ---
kTRSettings23,Inventory/Select/Interact: Ⓐ,Инвентарь/выбор/действие: Ⓐ,Inventaire/Choisir/Interagir: Ⓐ,Inventar/Select/Interact: Ⓐ,Inventario/Seleccionar/Interact: Ⓐ
kTRSettings24,Back/Cancel: Ⓑ,Назад/Отмена: Ⓑ,Retour/Annuler : Ⓑ,Zurück/Abbrechen: Ⓑ,Volver/Cancelar: Ⓑ
kTRSettings25,Walk: ✛,Идти: ✛,Marche : ✛,Walk: ✛,Caminar: ✛
kTRSettings26,Run: Hold Ⓑ + ✛,Бег: держи Ⓑ + ✛,Courir: maintenez  Ⓑ + ✛,Lauf: Halten Sie Ⓑ + ✛,Correr: sostener Ⓑ + ✛
kTRSettings27,Zoom in/out: 🎣 or Hold Ⓐ + ⬇️,Масштаб: 🎣 или Ⓐ + ⬇️,Zoom: 🎣 ou maint. Ⓐ + ⬇️,Zoom ein-/aus: 🎣 od. hal. Ⓐ + ⬇️,Acercar/afuera: 🎣 o Sost. Ⓐ + ⬇️
kTRSettings28,Rotate: 🎣 or Hold Ⓑ + ⬆️/➡️/⬇️/⬅️,Вращение: 🎣 или Ⓑ + ⬆️/➡️/⬇️/⬅️,Tourner: 🎣 ou maint. Ⓑ + ⬆️/➡️/⬇️/⬅️,Drehen sie: 🎣 od. hal. Ⓑ + ⬆️/➡️/⬇️/⬅️,Rotar: 🎣 o Sost. Ⓑ + ⬆️/➡️/⬇️/⬅️
kTRSettings29,Resize: 🎣 or Hold Ⓑ + ⬆️/⬇️,Размер: 🎣 или Ⓑ + ⬆️/⬇️,Redimensionner: 🎣 ou maint. Ⓑ + ⬆️/⬇️,Größen sie: 🎣 od. hal. Ⓑ + ⬆️/⬇️,Cambiar el tamaño: 🎣 o Sost. Ⓑ + ⬆️/⬇️
kTRSettings30,Quick Pickup Mode: Hold Ⓐ + ⬅️,Режим сбора: Ⓐ + ⬅️,Mode de ramassage: maint. Ⓐ + ⬅️,Abholmodus: hal. sie Ⓐ + ⬅️,Modo de recogida: Sost. Ⓐ + ⬅️
kTRSettings31,Quick Inspect Mode: Hold Ⓐ + ⬆️,Режим деталей: Ⓐ + ⬆️,Mode d'inspection: maint. Ⓐ + ⬆️,Inspectmodus: hal. sie Ⓐ + ⬆️,Modo de inspección: Sost. Ⓐ + ⬆️
kTRSettings32,Quick Demolish Mode: Hold Ⓐ + ➡️,Режим разрушения: держи Ⓐ + ➡️,Mode de déconstruction: maint. Ⓐ + ➡️,Dekonstruktmodus: hal. sie Ⓐ + ➡️,Modo de deconstrucción: Sost. Ⓐ + ➡️
kTRSettings33,--- Credits ---,--- Авторы ---,--- Crédits ---,--- Credits ---,--- Créditos ---
kTRSettings34,Factory Farming by Tim Martin,Factory Farming от Тима Мартина,Factory Farming par Tim Martin,Factory Farming von Tim Martin,Factory Farming de Tim Martin
kTRSettings35,Translations by Eugene Zakharov,Перевод: Евгений Захаров,Traductions par Eugene Zakharov,Übersetzungen von Eugene Zakharov,Traducciones de Eugene Zakharov
kTRSettings36,-- Music --,-- Музыка --,-- Musique --,-- Musik --,-- Música --
kTRSettings37,♬ Dr Tikov: 1985,♬ Dr Tikov: 1986,♬ Dr Tikov: 1985,♬ Dr Tikov: 1985,♬ Dr Tikov: 1985
kTRSettings38,♬ BoxCat Games: B-3,♬ BoxCat Games: B-4,♬ BoxCat Games: B-3,♬ BoxCat Games: B-3,♬ BoxCat Games: B-3
kTRSettings39,♬ Eric Skiff: We're the Resistors,♬ Eric Skiff: We're the Resistors,♬ Eric Skiff: We're the Resistors,♬ Eric Skiff: We're the Resistors,♬ Eric Skiff: We're the Resistors
kTRSettings40,♬ RoccoW: Sweet Self Satisfaction,♬ RoccoW: Sweet Self Satisfaction,♬ RoccoW: Sweet Self Satisfaction,♬ RoccoW: Sweet Self Satisfaction,♬ RoccoW: Sweet Self Satisfaction
kTRSettings41,♬ RoccoW: Weeklybeats 2014 #4,♬ RoccoW: Weeklybeats 2014 #5,♬ RoccoW: Weeklybeats 2014 #4,♬ RoccoW: Weeklybeats 2014 #4,♬ RoccoW: Weeklybeats 2014 #4
kTRSettings42,♬ Soft & Furious: Horizon Ending,♬ Soft & Furious: Horizon Ending,♬ Soft & Furious: Horizon Ending,♬ Soft & Furious: Horizon Ending,♬ Soft & Furious: Horizon Ending
kTRSettings43,-- Art --,-- Изображения --,-- Art --,-- Kunst --,-- Arte --
kTRSettings44,Kenney: 1-Bit Pack,Kenney: 1-Bit Pack,Kenney: 1-Bit Pack,Kenney: 1-Bit Pack,Kenney: 1-Bit Pack
kTRSettings45,VectorPixelStar: 1-Bit Patterns,VectorPixelStar: 1-Bit Patterns,VectorPixelStar: 1-Bit Patterns,VectorPixelStar: 1-Bit Patterns,VectorPixelStar: 1-Bit Patterns
kTRSettings46,Josehzz: Farming Crops,Josehzz: Farming Crops,Josehzz: Farming Crops,Josehzz: Farming Crops,Josehzz: Farming Crops
kTRSettings47,ScratchIO: Farming Set,ScratchIO: Farming Set,ScratchIO: Farming Set,ScratchIO: Farming Set,ScratchIO: Farming Set
kTRSettings48,Varkalandar: Isometric Rocks,Varkalandar: Isometric Rocks,Varkalandar: Isometric Rocks,Varkalandar: Isometric Rocks,Varkalandar: Isometric Rocks
kTRSettings49,Withthelove: Character Sprites,Withthelove: Character Sprites,Withthelove: Character Sprites,Withthelove: Character Sprites,Withthelove: Character Sprites
kTRSettings50,DinosoftLab: New (NounProject),DinosoftLab: New (NounProject),DinosoftLab: New (NounProject),DinosoftLab: New (NounProject),DinosoftLab: New (NounProject)
kTRSettings51,-- Fonts --,-- Шрифты --,-- Polices --,-- Schriftarten --,-- Fuentes --
kTRSettings52,Chester Jenkins: Cooper Hewitt,Chester Jenkins: Cooper Hewitt,Chester Jenkins: Cooper Hewitt,Chester Jenkins: Cooper Hewitt,Chester Jenkins: Cooper Hewitt
kTRSettings53,Martin Vacha: Roobert,Martin Vacha: Roobert,Martin Vacha: Roobert,Martin Vacha: Roobert,Martin Vacha: Roobert
kTRSettings54,Mediengestaltung: Messing Lettern,Mediengestaltung: Messing Lettern,Mediengestaltung: Messing Lettern,Mediengestaltung: Messing Lettern,Mediengestaltung: Messing Lettern
kTRSettings55,Mediengestaltung: Coventry Garden,Mediengestaltung: Coventry Garden,Mediengestaltung: Coventry Garden,Mediengestaltung: Coventry Garden,Mediengestaltung: Coventry Garden
kTRSettings56,Noto Sans,Noto Sans,Noto Sans,Noto Sans,Noto Sans
kTRSettings57,kaasiand.cool/tophat,kaasiand.cool/tophat,kaasiand.cool/tophat,kaasiand.cool/tophat,kaasiand.cool/tophat
kTRSettings58,-- Sound Effects --,-- Звуковые эффекты --,-- Effets Sonores --,-- Soundeffekte --,-- Efectos de Sonido --
kTRSettings59,sfxr.me,sfxr.me,sfxr.me,sfxr.me,sfxr.me
kTRSettings60,-- Statistics --,-- Статистика --,-- Statistiques --,-- Statistiken --,-- Estadísticas --
kTRSettings61,Play Time:,Время сыграно:,Temps joué:,Spielzeit:,Tiempo de juego:
kTRSettings62,Total Money Earned:,Заработано денег:,Total d'argent gagné:,Gesamtgeld verdient:,Total de dinero ganado:
kTRSettings63,Most Money Held:,Максимум денег на руках:,Le plus d'argent détenu:,Das meiste Geld gehalten:,La mayoría de los dinero retenido:
kTRSettings64,Total Cargo Sold:,Продано товаров:,Cargaison totale vendue:,Gesamtfracht verkauft:,Cargo total vendida:
kTRSettings65,Total Cargo Imported:,Импортировано:,Cargaison total importé:,Gesamtfracht importiert:,Cargo total importada:
kTRSettings66,Total Buildings in this Plot:,Кол-во зданий на этом участке:,Total des bât. de cette terrain:,Gebäude insgesamt (hier):,Edificios totales en esta trama:
kTRSettings67,Total Cargo in this Plot:,Кол-во товара на этом участке:,Cargaison total dans ce terrain:,Gesamtfracht (hier):,Cargo total en esta trama:
kTRSettings68,     ,     ,     ,     ,     
kTRSettings69,© Tim Martin 2022,© Тим Мартин 2023,© Tim Martin 2022,© Tim Martin 2022,© Tim Martin 2022
kTRSettings70,Factory Farming is an MIT,Factory Farming лицензирована MIT,Factory Farming est un MIT,Factory Farming ist ein MIT,Factory Farming es de
kTRSettings71,Licensed Open Source Project,проект с открытым исходным кодом,projet open source agréé,lizenziertes Open-Source-Projekt,código abierto y licencia MIT
kTRSettings72,github.com/timboe/FactoryFarming,github.com/timboe/FactoryFarming,github.com/timboe/factoryfarming,github.com/timboe/factoryFarming,github.com/timboe/factoryfarming
kTRSettings73,     ,     ,     ,     ,     
kTRSettings74,Thank you for playing!,Спасибо за игру!,Merci d'avoir joué! Et pour votre,Danke für das Spiel! Und für deine,¡Gracias por jugar! Y por su apoyo
kTRSettings75,And for your support of niche,И за поддержку ниши,soutien aux jeux indépendants de,Unterstützung von Nischen-,de buenos juegos
kTRSettings76,Indie game dev projects :),инди игр :),indépendants de niche :),Indie-Spielentwicklungsprojekten :),independientes :)
kTRSettings77,     ,     ,     ,     ,     
kTRSettings78,"Keep on Maximizing Profit,","Продолжай увеличивать прибыль,","Continuez à maximiser le profit,","Mach weiter, maximiere das","Siga maximizando las ganancias,"
kTRSettings79,Maximizing Efficiency.,увеличивать эффективность.,maximiser l'efficacité.,"profitieren, effizienz maximieren.",maximización de la eficiencia.
kTRShopBuy,Buy,Куп.,Achat,Kauf,Obtén
kTRShopPrice,Price,Цена,Prix,Preis,Precio
kTRWarpLocations,Plot Location,Участок,Emplact. du Terr.,Landlage,Parcelas de tierra
kTRWarpSoil,Soils,Почвы,Sols,Boden,Suelos
kTRFactory,Factory,Фабрика,Usine,Fabrik,Fábrica
kTRFarming,Farming,Сельское хозяйство,Agriculture,Landwirtschaft,Agricultura
kTRFactoryFarming,Factory Farming,Интенсивное сельское хозяйство,L'agriculture Industriel,Industrielandwirtschaft,La Agricultura Intensiva
kTRLang,EN,RU,FR,DE,ES
kNTR,--,--,--,--,--
